name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6304777802294698,1.49
2_DecisionTree,Decision Tree,logloss,0.395429225991465,8.0
3_Linear,Linear,logloss,0.34562091193723543,4.89
4_Default_LightGBM,LightGBM,logloss,0.33735907377921887,5.65
5_Default_Xgboost,Xgboost,logloss,0.3302913704299187,5.6
6_Default_CatBoost,CatBoost,logloss,0.33858723462502727,3.17
7_Default_NeuralNetwork,Neural Network,logloss,0.3704428086593069,2.99
8_Default_RandomForest,Random Forest,logloss,0.35680945134215997,4.71
9_Default_ExtraTrees,Extra Trees,logloss,0.36447258179046604,5.62
10_Default_NearestNeighbors,Nearest Neighbors,logloss,0.8127144280423858,2.74
Ensemble,Ensemble,logloss,0.3251761025823001,2.06
